EVENTS VS HEALTH_AND_FITNESS:	 statistic= -6.563939559195524;	 p_value= 5.5644090888947155e-11;
EVENTS VS HOUSE_AND_HOME:	 statistic= -5.6350203458751515;	 p_value= 1.7810855764494076e-08;
EVENTS VS LIFESTYLE:	 statistic= -6.032370136835674;	 p_value= 1.6556159157033246e-09;
EVENTS VS MAPS_AND_NAVIGATION:	 statistic= -6.2282149752585765;	 p_value= 4.836625790665415e-10;
EVENTS VS MEDICAL:	 statistic= -3.3800067956827684;	 p_value= 0.0007264876456297294;
EVENTS VS MUSIC_AND_AUDIO:	 statistic= -8.703789156917846;	 p_value= 3.734343921679992e-18;
EVENTS VS NEWS_AND_MAGAZINES:	 statistic= -9.516978993912739;	 p_value= 2.1436515689803673e-21;
EVENTS VS PARENTING:	 statistic= -2.320016734422007;	 p_value= 0.020350786730394393;
EVENTS VS PERSONALIZATION:	 statistic= -6.088429613646532;	 p_value= 1.1716257843971015e-09;
EVENTS VS PRODUCTIVITY:	 statistic= -7.05262366998257;	 p_value= 1.8768514679234182e-12;
EVENTS VS SHOPPING:	 statistic= -15.331612013068876;	 p_value= 2.063292186538436e-52;
EVENTS VS SOCIAL:	 statistic= -10.240074633813075;	 p_value= 1.7292567913921744e-24;
EVENTS VS SPORTS:	 statistic= -5.255993019911758;	 p_value= 1.4931156031440688e-07;
EVENTS VS TOOLS:	 statistic= -8.823825378018782;	 p_value= 1.266343282129254e-18;
EVENTS VS TRAVEL_AND_LOCAL:	 statistic= -5.3461093486283024;	 p_value= 9.196880062402229e-08;
EVENTS VS VIDEO_PLAYERS:	 statistic= -3.3311817779941015;	 p_value= 0.0008685243996032747;
EVENTS VS WEATHER:	 statistic= -3.5550601027950246;	 p_value= 0.0003794154101562459;
EVENTS VS GAME:	 statistic= -9.983770772764164;	 p_value= 1.861106557362826e-23;
FINANCE VS FOOD_AND_DRINK:	 statistic= -5.582938875883165;	 p_value= 2.4136590888508062e-08;
FINANCE VS HEALTH_AND_FITNESS:	 statistic= -5.443309350269604;	 p_value= 5.5098526027565136e-08;
FINANCE VS HOUSE_AND_HOME:	 statistic= -5.029320662980446;	 p_value= 4.994665738541985e-07;
FINANCE VS LIFESTYLE:	 statistic= -4.891241577522951;	 p_value= 1.0166153271617839e-06;
FINANCE VS MAPS_AND_NAVIGATION:	 statistic= -4.593362238253167;	 p_value= 4.40500503943541e-06;
FINANCE VS MEDICAL:	 statistic= -3.240537143965042;	 p_value= 0.0011959971853716467;
FINANCE VS MUSIC_AND_AUDIO:	 statistic= -6.875374038716952;	 p_value= 6.800035714104118e-12;
FINANCE VS NEWS_AND_MAGAZINES:	 statistic= -7.013178770229028;	 p_value= 2.5265827241077632e-12;
FINANCE VS PARENTING:	 statistic= -2.093264897624033;	 p_value= 0.03634235068282485;
FINANCE VS PERSONALIZATION:	 statistic= -4.645002029735221;	 p_value= 3.445446796808496e-06;
FINANCE VS PRODUCTIVITY:	 statistic= -5.191763394550673;	 p_value= 2.1514994231909724e-07;
FINANCE VS SHOPPING:	 statistic= -12.018012006223097;	 p_value= 7.149135766635703e-33;
FINANCE VS SOCIAL:	 statistic= -7.398210954873662;	 p_value= 1.5553882705036896e-13;
FINANCE VS SPORTS:	 statistic= -4.488850341982905;	 p_value= 7.234100560523681e-06;
FINANCE VS TOOLS:	 statistic= -6.698490595363312;	 p_value= 2.2511330003306836e-11;
FINANCE VS TRAVEL_AND_LOCAL:	 statistic= -4.768090042991954;	 p_value= 1.9050847548905871e-06;
FINANCE VS VIDEO_PLAYERS:	 statistic= -3.2290911626933054;	 p_value= 0.0012502417107199478;
FINANCE VS WEATHER:	 statistic= -3.406104966188106;	 p_value= 0.0006622675248112952;
FINANCE VS GAME:	 statistic= -7.235849793743249;	 p_value= 4.675936836179457e-13;
FOOD_AND_DRINK VS HEALTH_AND_FITNESS:	 statistic= -3.41711385431178;	 p_value= 0.0006354378841028217;
